DateTime,Location,Lattitude,Longitude,AirQualityLevel,Temperature,Humidity,HeatIndex,CO,CO2,Ethanol,NH4,Toluene,Acetone,DustDensity
02/21/2023 12:02:34,"X2CV V88 Park, Malayambakkam, Tamil Nadu 602109, India
",12.97227,80.04358,Good,51.3C,22%,61.33C,0.15 PPM,111.73 PPM,3.82 PPM,3.8 PPM,0.21 PPM,1.09 PPM,0
02/21/2023 12:02:37,"X2CV V88 Park, Malayambakkam, Tamil Nadu 602109, India
",12.97227,80.04358,Good,51.3C,23%,61.33C,0.15 PPM,111.73 PPM,3.82 PPM,3.8 PPM,0.21 PPM,1.09 PPM,0
02/21/2023 12:02:38,"X2CV V88 Park, Malayambakkam, Tamil Nadu 602109, India
",12.97227,80.04357,Good,51.3C,23%,61.33C,0.15 PPM,111.73 PPM,3.82 PPM,3.8 PPM,0.21 PPM,1.09 PPM,0
02/21/2023 12:02:42,"X2CV V88 Park, Malayambakkam, Tamil Nadu 602109, India
",12.97227,80.04357,Good,51.3C,23%,61.33C,0.15 PPM,111.73 PPM,3.82 PPM,3.8 PPM,0.21 PPM,1.09 PPM,0
02/21/2023 12:02:48,"X2CV V88 Park, Malayambakkam, Tamil Nadu 602109, India
",12.97227,80.04357,Good,51.3C,23%,61.33C,0.15 PPM,111.73 PPM,3.82 PPM,3.8 PPM,0.21 PPM,1.09 PPM,0
02/21/2023 12:02:49,"X2CV V88 Park, Malayambakkam, Tamil Nadu 602109, India
",12.97227,80.04357,Good,51.3C,23%,61.33C,0.15 PPM,111.73 PPM,3.82 PPM,3.8 PPM,0.21 PPM,1.09 PPM,0
02/21/2023 12:02:51,"X2CV V88 Park, Malayambakkam, Tamil Nadu 602109, India
",12.97227,80.04357,Good,51.3C,23%,61.33C,0.15 PPM,111.73 PPM,3.82 PPM,3.8 PPM,0.21 PPM,1.09 PPM,0
02/21/2023 12:02:56,"X2CV V88 Park, Malayambakkam, Tamil Nadu 602109, India
",12.97227,80.04357,Good,51.3C,23%,61.33C,0.15 PPM,111.73 PPM,3.82 PPM,3.8 PPM,0.21 PPM,1.09 PPM,0
02/21/2023 12:03:00,"X2CV V88 Park, Malayambakkam, Tamil Nadu 602109, India
",12.97227,80.04357,Good,51.3C,23%,61.33C,0.15 PPM,111.73 PPM,3.82 PPM,3.8 PPM,0.21 PPM,1.09 PPM,0
02/21/2023 12:03:05,"X2CV V88 Park, Malayambakkam, Tamil Nadu 602109, India
",12.97227,80.04357,Good,51.3C,23%,61.33C,0.15 PPM,111.73 PPM,3.82 PPM,3.8 PPM,0.21 PPM,1.09 PPM,0
02/21/2023 12:43:48,"X2CV V88 Park, Malayambakkam, Tamil Nadu 602109, India
",12.97223,80.04343,Good,51.3C,23%,61.33C,0.15 PPM,111.73 PPM,3.82 PPM,3.8 PPM,0.21 PPM,1.09 PPM,0
